OBJECTID,PUBLIC_NAME,LABEL,Exclude,PARENT_NAME,NESTED,OFFICIAL_NAME,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
381,Daly Park,Daly,Yes,Daly Park,N,,,917,1240 W SEDGELY AVE,19133,,12th & Sedgley,0.08468274,POCKET_PARK,BREEZEWAY_ISLAND,6,3,5,25,Y,Y,N,There is no parcel here,584.6875,101.1522272
382,Beck Park,Beck,Yes,Beck Park,N,,,195,839 S 02ND ST,19147,839 S 02ND ST,,0.07427552,POCKET_PARK,SQUARE_PLAZA,10,7,1,3,Y,Y,N,,511.875,111.4158737
383,Coxe Park,Coxe,Yes,Coxe Park,N,,,128,2132 CHERRY ST,19103,2132-34 CHERRY ST,"2132-34 CHERRY ST, Beechwood & Cherry",0.10927567,POCKET_PARK,MISC_PARK,7,5,5,9,Y,Y,N,,753.53125,128.2674149
384,Greble Post War Memorial,Greble Post,Yes,Greble Post War Memorial,N,,Pennsport Veterans Memorial,94,1327 S 03RD ST,19147,1327 S 03RD ST,3rd & Moyamensing,0.04842489,POCKET_PARK,SQUARE_PLAZA,10,7,1,3,Y,Y,N,,333.6679688,81.20894849
385,18th and Jackson War Memorial,18th and Jackson,Yes,18th and Jackson War Memorial,N,,,1215,1800 W PASSYUNK AVE,19145,N/A,,0.08338381,POCKET_PARK,SQUARE_PLAZA,9,7,2,1,Y,Y,N,There is no parcel here,574.4296875,148.3631616
386,22nd and Catharine Park,22nd and Catharine,Yes,22nd and Catharine Park,N,,Catharine Park,1222,2200 CATHARINE ST,19146,2200 CATHARINE ST,,0.04624432,POCKET_PARK,MISC_PARK,7,7,2,17,Y,Y,N,,318.7617188,78.40270119
387,I-95 Park,I-95 Park,Yes,I-95 Park,N,,Statue of Peace Plaza (Front/Catharine St),1228,,19147,,,13.0735898,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,10,"5, 7",1,"3, 6",Y,Y,N,,90114.76172,4791.451375
388,General Casimir Pulaski Park,Pulaski,No,General Casimir Pulaski Park,N,General Casimir Pulaski Park,,809,3001 E ALLEGHENY AVE,19134,3001 E ALLEGHENY AVE,,1.93025953,NEIGHBORHOOD_PARK,MISC_PARK,5,2,"1, 6",24,Y,Y,N,ADDRESS_BRT comes from a bigger parcel,13318.66406,769.893104
389,Manton Street Park,Manton,Yes,Manton Street Park,N,,,28,405 MANTON ST,19147,"405-07 MANTON ST, 1216 S 4TH ST","405-11 MANTON ST;405-07 MANTON ST, 1216 S 4TH ST",0.06139029,POCKET_PARK,URBANAGRICULTURE_GARDEN,10,7,1,3,Y,Y,N,,423.046875,102.6070644
390,Cecil B Moore Recreation Center,CB Moore,No,Cecil B Moore Recreation Center,N,Cecil B. Moore Recreation Center,C.B. Moore; Connie Mack Playground,1825,2563 N 22ND ST,19132,2020-50 W LEHIGH AVE,"2020-50 W LEHIGH AVE, 2551 N 22ND ST, 20th & Lehigh, 2501 N 22ND ST",2.13806803,NEIGHBORHOOD_PARK,RECREATION_SITE,6,6,5,22,Y,Y,Y,,14759.44141,577.1068721
391,Shofuso Japanese Garden,Japanese Garden,Yes,West Fairmount Park,Y,Shofuso Japanese Garden,Japanese House and Garden;Pine Breeze Villa and Shofuso,3480,4301 LANSDOWNE DR,19131,3401 W GIRARD AVE,Lansdowne Dr & Horticultural Dr,1.08153134,NEIGHBORHOOD_PARK,MUSEUM,7,5,4,16,N,Y,N,Located within the boundaries of the Fairmount Park Horticulture Center. Designed and created in 1953,7461.253906,340.744674
392,61st and Cobbs Creek Park,61st and Cobbs Creek,No,Cobbs Creek Park,Y,,,3481,61ST & COBBS CREEK,19143,,,5.16389835,NEIGHBORHOOD_PARK,MISC_PARK,8,8,3,18,Y,Y,Y,,35596.9375,1037.395645
