FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,weekday,AttendenceRealDate
{FC68DFB6-7C48-4955-A6C6-52B22B605AAF},Emanuel Recreation Center,1201,After School,After School,M/F,5,12,2021/12/13,4,1,8310,2021/10/01,2022/05/27,Tuesday,2021/12/14
{9D68AC8D-CF45-49EC-81E3-022EF3203A04},Eastwick Regional Playground,3126,Athletic,Martial Arts,M/F,5,100,2021/12/20,20,13,8618,2021/10/01,2022/10/01,Friday,2021/12/24
{9D68AC8D-CF45-49EC-81E3-022EF3203A04},Eastwick Regional Playground,4852,Cultural,Art,M/F,18,99,2021/12/20,6,2,8621,2021/10/08,2022/10/07,Wednesday,2021/12/22
{9D68AC8D-CF45-49EC-81E3-022EF3203A04},Eastwick Regional Playground,4851,Cultural,Art,M/F,18,99,2021/12/20,6,2,8620,2021/10/08,2022/10/08,Friday,2021/12/24
{9D68AC8D-CF45-49EC-81E3-022EF3203A04},Eastwick Regional Playground,1360,Educational,Educational,M/F,16,90,2021/12/20,6,4,8697,2021/10/11,2022/10/17,Wednesday,2021/12/22
{298809CB-A118-4234-8A54-54260C378AD7},Gambrel Playground,1181,Athletic,Football,M,5,14,2021/12/13,300,8,8543,2021/08/30,2021/12/23,Monday,2021/12/13
{6DCEECCE-1B1E-4B3C-A3EA-EDE7AE766F7F},Lower Mayfair Playground,456,After School,After School,M/F,6,12,2021/12/13,12,10,8315,2021/09/13,2022/05/27,Tuesday,2021/12/14
{6DCEECCE-1B1E-4B3C-A3EA-EDE7AE766F7F},Lower Mayfair Playground,456,After School,After School,M/F,6,12,2021/12/13,15,11,8315,2021/09/13,2022/05/27,Tuesday,2021/12/14
{6DCEECCE-1B1E-4B3C-A3EA-EDE7AE766F7F},Lower Mayfair Playground,461,Athletic,Gymnastics / Tumbling,M/F,4,18,2021/12/06,12,12,8416,2021/10/06,2022/04/28,Thursday,2021/12/09
{6DCEECCE-1B1E-4B3C-A3EA-EDE7AE766F7F},Lower Mayfair Playground,456,After School,After School,M/F,6,12,2021/12/06,15,12,8315,2021/09/13,2022/05/27,Tuesday,2021/12/07
{6DCEECCE-1B1E-4B3C-A3EA-EDE7AE766F7F},Lower Mayfair Playground,461,Athletic,Gymnastics / Tumbling,M/F,4,18,2021/11/29,12,12,8416,2021/10/06,2022/04/28,Thursday,2021/12/02
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/12/20,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/12/22
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/12/13,10,0,8227,2021/09/13,2022/05/27,Wednesday,2021/12/15
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/12/06,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/12/08
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/11/29,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/12/01
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/11/22,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/11/24
{696BABB9-CB2C-4D1D-8A40-DBC327D80C5D},Morris Estate Cultural Center,4343,Cultural,Health & Wellness,M/F,18,100,2021/12/06,0,0,8651,2021/09/13,2021/12/16,Wednesday,2021/12/08
{696BABB9-CB2C-4D1D-8A40-DBC327D80C5D},Morris Estate Cultural Center,4189,Other,Video Games,M/F,8,17,2021/12/06,0,0,8654,2021/09/07,2021/12/28,Thursday,2021/12/09
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4781,Athletic,Martial Arts,M/F,7,30,2021/12/13,2,2,8449,2021/10/05,2022/04/19,Saturday,2021/12/18
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4781,Athletic,Martial Arts,M/F,7,30,2021/12/06,2,2,8449,2021/10/05,2022/04/19,Saturday,2021/12/11
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4781,Athletic,Martial Arts,M/F,7,30,2021/11/29,2,2,8449,2021/10/05,2022/04/19,Saturday,2021/12/04
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4781,Athletic,Martial Arts,M/F,7,30,2021/11/22,2,2,8449,2021/10/05,2022/04/19,Saturday,2021/11/27
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4781,Athletic,Martial Arts,M/F,7,30,2021/11/22,2,2,8449,2021/10/05,2022/04/19,Saturday,2021/11/27
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4781,Athletic,Martial Arts,M/F,7,30,2021/11/15,2,2,8449,2021/10/05,2022/04/19,Saturday,2021/11/20
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/12/20,7,7,8845,2021/09/27,2022/05/30,Friday,2021/12/24
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/12/13,7,7,8845,2021/09/27,2022/05/30,Friday,2021/12/17
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/12/06,7,7,8845,2021/09/27,2022/05/30,Friday,2021/12/10
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/11/29,7,7,8845,2021/09/27,2022/05/30,Friday,2021/12/03
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/11/22,7,7,8845,2021/09/27,2022/05/30,Friday,2021/11/26
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/11/22,7,7,8845,2021/09/27,2022/05/30,Friday,2021/11/26
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/11/15,7,5,8845,2021/09/27,2022/05/30,Friday,2021/11/19
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/11/15,7,5,8845,2021/09/27,2022/05/30,Friday,2021/11/19
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/11/08,7,7,8845,2021/09/27,2022/05/30,Friday,2021/11/12
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/11/01,7,7,8845,2021/09/27,2022/05/30,Friday,2021/11/05
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/10/25,7,7,8845,2021/09/27,2022/05/30,Friday,2021/10/29
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/10/18,7,7,8845,2021/09/27,2022/05/30,Friday,2021/10/22
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/10/18,10,10,8845,2021/09/27,2022/05/30,Friday,2021/10/22
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/10/04,7,10,8845,2021/09/27,2022/05/30,Friday,2021/10/08
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4940,Athletic,Martial Arts,M/F,5,15,2021/10/04,7,14,8845,2021/09/27,2022/05/30,Friday,2021/10/08
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4226,Cultural,Dance,M/F,6,14,2021/12/13,15,15,8446,2021/06/16,2022/02/18,Friday,2021/12/17
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4939,After School,After School,M/F,6,12,2021/12/13,15,12,8844,2021/09/13,2022/06/10,Tuesday,2021/12/14
{280547FA-8695-4C03-90B1-B8A5093F8B7C},Mount Airy Playground,4939,After School,After School,M/F,6,12,2021/12/06,15,12,8844,2021/09/13,2022/06/10,Tuesday,2021/12/07
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,1074,Athletic,Hockey,M/F,6,18,2021/12/13,94,0,8817,2021/10/18,2022/06/01,Thursday,2021/12/16
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,1074,Athletic,Hockey,M/F,6,18,2021/12/13,94,0,8819,2021/10/23,2022/06/01,Saturday,2021/12/18
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,1074,Athletic,Hockey,M/F,6,18,2021/12/13,94,0,8816,2021/10/18,2022/06/01,Wednesday,2021/12/15
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,4847,Other,Mentoring,M/F,13,16,2021/12/13,14,13,8613,2021/10/12,2021/12/16,Thursday,2021/12/16
{13600B8B-AB62-4A39-95CF-5F31C6942010},Thomas B. Smith Recreation Center,4758,After School,After School,M/F,6,12,2021/12/13,14,10,8379,2021/09/13,2022/06/10,Tuesday,2021/12/14
{F7465F8D-CF0C-4DB7-9074-81CC00BD16B8},Marian Anderson Recreation Center,4756,After School,After School,M/F,6,12,2021/12/13,11,11,8376,2021/09/13,2022/05/31,Tuesday,2021/12/14
{C8420FF3-289F-4737-A4F5-FF44DE89CA58},McVeigh Recreation Center,300,After School,After School,M/F,6,12,2021/12/20,15,21,8348,2021/09/13,2022/05/27,Tuesday,2021/12/21
