placekey,naics_code,location_name,parkLat,parkLng
zzz-222@628-ph6-qfz,713990,Baker Playground," 39.977339","-75.231195"
zzz-222@628-ph5-wx5,712190,Carroll Park," 39.971025","-75.236345"
zzz-222@628-pgb-rff,713990,10Th and Lemon Playground," 39.963491","-75.154905"
zzz-222@628-pj9-fvf,712190,Kemble Park," 40.040003","-75.149781"
zzz-222@628-pg2-4vz,712190,Fairview Park," 40.030513","-75.220218"
zzz-222@628-pm6-gff,712190,Mifflin Square," 39.919491","-75.156513"
zzz-222@628-pjb-9zz,712190,Morris Estate Recreation Center," 40.049997","-75.146324"
zzz-222@628-pfx-fmk,712190,Germany Hill," 40.035053","-75.232109"
zzz-222@628-pp4-wtv,713990,Waterloo Playground," 39.988654","-75.132939"
zzz-222@628-pg4-ndv,712190,Waterview Recreation Center," 40.045343","-75.168318"
zzz-222@628-pgg-z75,712190,29Th and Chalmers Park," 39.999817","-75.179432"
zzy-222@63s-dvw-dn5,713110,West Mill Creek Playground," 39.967159","-75.22253"
zzz-222@628-p9v-fvf,713990,Fitzpatrick Playground," 40.096548","-74.972485"
zzz-222@628-pg4-hdv,712190,Vernon Park," 40.036086","-75.176647"
zzz-222@628-p7x-2c5,713990,Mayfair Playground," 40.040298","-75.053302"
zzz-222@628-ph5-py9,713990,Tustin Playground," 39.982077","-75.240941"
zzz-222@628-pm9-z2k,712190,Mario Lanza Park," 39.937571","-75.147241"
zzz-222@63s-dvy-fxq,712190,Kingsessing Recreation Center," 39.943152","-75.21677"
zzz-222@628-pg9-tgk,713990,Clemente Playground," 39.965645","-75.168118"
zzw-222@628-pm7-rtv,713990,Smith Playground," 39.925966","-75.18718"
zzz-222@628-p78-6kz,712190,Poquessing Creek Park Dimarco," 40.073173","-74.97276"
zzz-222@628-p9p-kxq,713990,Baldi School Playground," 40.092379","-75.050983"
zzz-222@628-pmf-mc5,712190,Basilica Green," 39.957149","-75.16886"
zzz-222@628-pm7-wx5,713990,Stinger Square Playground," 39.93619","-75.197642"
zzz-222@628-p74-jjv,713990,Holmesburg Playground," 40.036488","-75.026583"
zzz-222@628-pm3-xyv,713990,Columbus Di Prospero Playground," 39.933156","-75.164771"
zzz-222@628-pm9-zxq,713990,Starr Garden Playground," 39.9426","-75.152768"
zzz-222@628-pgj-nyv,712190,Fairhill Square," 39.99093","-75.139022"
zzz-222@63s-dw2-jqf,713990,Rose Playground," 39.97291","-75.260803"
zzz-222@628-pxy-6p9,712190,Fox Chase Farm," 40.091209","-75.074568"
zzz-222@628-pgd-w49,713990,37Th and Mt Vernon Playground," 39.963975","-75.196488"
zzz-222@63s-dvx-2tv,712190,Clara Muhammad Square," 39.971063","-75.216488"
zzz-222@628-pmb-ks5,712190,Betsy Ross House," 39.952268","-75.144631"
zzz-222@628-pj4-brk,713990,Wister Playground," 40.032503","-75.160459"
zzz-222@628-pg9-yjv,712190,Francisville Playground," 39.968985","-75.167071"
zzz-222@628-pft-pjv,712190,Wissahickon Valley Park," 40.028266","-75.195791"
zzz-222@628-pg3-cdv,712190,Cliveden Park," 40.051681","-75.177635"
zzz-222@628-pft-zs5,712190,Kendrick Recreation Center," 40.029244","-75.21094"
222-222@628-pg9-2hq,712190,The Discovery Center," 39.982746","-75.192961"
222-222@628-pgd-cqz,712190,Smith Memorial Playground & Playhouse," 39.981726","-75.195648"
zzz-222@628-pj9-8n5,713990,Barrett Playground," 40.029612","-75.136037"
zzz-222@628-pgx-vcq,712190,Roxborough Reservoir," 40.056478","-75.240742"
zzz-222@63s-dvw-hqz,712190,Ben Barkan Park," 39.953787","-75.221615"
zzz-222@628-p8f-87q,712190,Hedge Street Park," 40.014","-75.083069"
zzw-222@628-pm7-mx5,712190,Wharton Square Park," 39.936022","-75.183789"
zzz-222@628-p7c-7bk,712190,John Byrne Golf Course," 40.061296","-75.000616"
zzw-222@628-pmb-2c5,713940,Weccacoe Playground," 39.938149","-75.150616"
zzz-222@628-pm6-zvf,713990,29Th and Passyunk Playground," 39.921571","-75.194765"
zzz-222@628-p7c-7yv,713990,Torresdale Playground," 40.058755","-74.99835"
