year,month,region,iso_country_code,census_block_group,number_devices_residing,number_devices_primary_daytime
2021,1,pa,US,"420912088011",61,56
2021,1,pa,US,"421330210101",111,71
2021,1,pa,US,"420030902001",49,29
2021,1,pa,US,"420034733001",45,44
2021,1,pa,US,"420454011033",40,38
2021,1,pa,US,"420454064012",44,38
2021,1,pa,US,"420691118004",132,117
2021,1,pa,US,"420710102021",121,104
2021,1,pa,US,"420912036011",24,21
2021,1,pa,US,"420912091001",153,115
2021,1,pa,US,"420912101001",34,31
2021,1,pa,US,"421010060004",71,50
2021,1,pa,US,"421039506063",113,86
2021,1,pa,US,"420035214012",43,35
2021,1,pa,US,"420035240002",64,55
2021,1,pa,US,"420059501001",75,64
2021,1,pa,US,"420454051002",36,40
2021,1,pa,US,"420770022022",55,59
2021,1,pa,US,"420850312002",152,123
2021,1,pa,US,"421010274022",49,33
2021,1,pa,US,"421039506052",133,106
2021,1,pa,US,"420034370001",256,241
2021,1,pa,US,"420110141001",91,80
2021,1,pa,US,"420171054002",74,66
2021,1,pa,US,"420199101003",90,81
2021,1,pa,US,"420490113003",37,32
2021,1,pa,US,"420710127004",58,34
2021,1,pa,US,"420950172004",105,94
2021,1,pa,US,"421010001001",69,58
2021,1,pa,US,"421010151011",44,28
2021,1,pa,US,"421330015001",53,51
2021,1,pa,US,"421330223001",111,88
2021,1,pa,US,"420035263023",59,46
2021,1,pa,US,"420110101002",117,96
2021,1,pa,US,"420430229004",53,45
2021,1,pa,US,"420454076001",24,22
2021,1,pa,US,"420599706004",63,69
2021,1,pa,US,"420730116002",54,42
2021,1,pa,US,"420750040001",410,323
2021,1,pa,US,"421330205103",84,46
2021,1,pa,US,"420076040002",58,47
2021,1,pa,US,"420110108022",140,115
2021,1,pa,US,"420333303003",130,102
2021,1,pa,US,"420792133001",50,34
2021,1,pa,US,"421010160005",1946,1914
2021,1,pa,US,"421070026003",22,20
2021,1,pa,US,"421150322002",27,20
2021,1,pa,US,"421330207203",318,239
2021,1,pa,US,"420031303003",28,27
2021,1,pa,US,"420034643001",73,49
2021,1,pa,US,"420454016002",40,38
2021,1,pa,US,"420691023001",41,32
2021,1,pa,US,"420710011002",45,32
