X,Y,OBJECTID,ASSET_NAME,SITE_NUMBE,PSPACETYPE,CAPACITY,DSCRIPTION,DPP_ASSET_,SPACE_GLOBAL_ID
-75.155401099587,40.0324283614382,29,Wister's Woods Park picnic site 2,2,Picnic Site,50, ,875,{b2995624-4b1a-45d3-bc81-4bfdfda83271}
-75.155486285829,40.0333840261927,30,Wister's Woods Park picnic site 3,3,Picnic Site,50, ,875,{d32b0070-b6b1-4f23-99fe-62824063e0d1}
-75.1635594182926,40.0522897495822,31,Awbury Park & Recreation Center picnic site 2,2,Picnic Site,50, ,604,{c71cb001-8ac9-4782-9669-84233bfca9a8}
-75.1632796302048,40.0523216432887,32,Awbury Park & Recreation Center picnic site 3,3,Picnic Site,50, ,604,{bb865ed6-5dad-4204-b550-2c068e445b5e}
-75.1631746058804,40.0519668372639,33,Awbury Park & Recreation Center picnic site 1,1,Picnic Site,50, ,604,{cb2f9a91-06d2-4023-bb94-73e439ff94c2}
-75.1308812198842,40.043056144067,34,Fisher Park picnic site 1,1,Picnic Site,50, ,679,{8ba1fdf9-8ae2-463f-b7a6-8db99b442b33}
-75.1310943632487,40.04295162136,35,Fisher Park picnic site 2,2,Picnic Site,50, ,679,{2473fb7e-e98c-4015-9e9e-743632474f2d}
-75.0892796018362,40.0692033971501,36,Burholme Park picnic site 2,2,Picnic Site,50, ,490,{4939f81f-066d-4662-b81b-49b66e795a7d}
-75.0896979092053,40.0694870940056,37,Burholme Park picnic site 3,3,Picnic Site,50, ,490,{92d61bcd-0a86-4dda-8652-c7de69c56bf7}
-75.0892217414971,40.0670733696092,38,Burholme Park picnic site 1,1,Picnic Pavilion,50, ,490,{37464a8b-d15d-4a3b-b6a9-a1164898c4cf}
-75.0912726702578,40.0697191521503,39,Burholme Park picnic site 4,4,Picnic Site,50, ,490,{daaeff5c-6f6d-47aa-bbec-2ac979da9a3d}
-75.0918689341757,40.0699642598735,40,Burholme Park picnic site 5,5,Picnic Site,50, ,490,{47bc744c-376b-482d-ac32-6f7a9d3e076b}
-75.1434200362396,40.016981214094,41,Hunting Park picnic site 6,6,Picnic Site,50, ,845,{b512739f-bb48-492f-9786-0472495890b6}
-75.1450923302889,40.0169552358992,42,Hunting Park picnic site 2,2,Picnic Site,50, ,845,{5f9951cf-1aaf-43c1-8b37-7b2fb86c8708}
-75.1457853597079,40.0173107675632,43,Hunting Park picnic site 3,3,Picnic Site,50, ,845,{db3bf64a-7afb-445e-a20d-c77f37c86a48}
-75.1445793329677,40.0156365802379,44,Hunting Park picnic pavilion,1,Picnic Site,50, ,845,{7a72028f-da3a-46ab-89e9-f36a42d1b8d0}
