OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
478,Mollbore Terrace Park at 12th St,Mollbore Terrace Park,Y,,Mollbore Terrace, ,283,1226 MOLLBORE TER,19148,1226 MOLLBORE TER,Mollbore Ter & 12th,0.48178102,POCKET_PARK,BREEZEWAY_ISLAND,9,7,2,3,N,N,N,,3318.21875,270.604900821173
479,Yorktown at Saratoga Pl,Yorktown Commons,Y,,Yorktown,Yorktown at N Dondil Pl,3497,1599 DONDILL PL,19122,N/A,,0.10026945,POCKET_PARK,BREEZEWAY_ISLAND,10,6,5,22,N,N,N,,691.8203125,136.999599352069
480,Yorktown at Queens Pl,Yorktown Commons,Y,,Yorktown,,3498,1501 QUEENS PL,19122,N/A,,0.12990782,POCKET_PARK,BREEZEWAY_ISLAND,10,6,5,22,N,N,N,,896.3203125,144.796838844761
481,Yorktown at Betsy Ross Pl,Yorktown Commons,Y,,Yorktown,Yorktown at S Dondil Pl,3499,1401 DONDILL PL,19122,N/A,,0.09913636,POCKET_PARK,BREEZEWAY_ISLAND,10,6,5,22,N,N,N,,683.9765625,135.14207685482
482,Yorktown at Guilford Pl,Yorktown Commons,Y,,Yorktown,,3500,1400 GUILFORD PL,19122,N/A,,0.12570272,POCKET_PARK,BREEZEWAY_ISLAND,10,6,5,22,N,N,N,,867.26953125,141.941051556176
483,Yorktown at Patrick Henry,Yorktown Commons,Y,,Yorktown,,3501,1220 PATRICK HENRY PL,19122,N/A,,0.22130851,POCKET_PARK,BREEZEWAY_ISLAND,10,6,5,22,N,N,N,,1526.80078125,194.979257773413
484,Yorktown at Kings Pl,Yorktown Commons,Y,,Yorktown,,3502,1303 KINGS PL,19122,N/A,,0.10000667,POCKET_PARK,BREEZEWAY_ISLAND,10,6,5,22,N,N,N,,689.953125,126.261657342485
485,Yorktown Commons,Yorktown Commons,N,,Yorktown,,3618,,19122,N/A,"1599 DONDILL PL; 1501 QUEENS PL; 1401 DONDILL PL; 1400 GUILFORD PL; 1220 PATRICK HENRY PL; 1303 KINGS PL",0.77633167,NEIGHBORHOOD_PARK,BREEZEWAY_ISLAND,10,6,5,22,Y,Y,N,,5356.13671875,880.120481710596
486,Lucien E Blackwell Park,Lucien E Blackwell Park,N,Lucien E. Blackwell Park,Blackwell,Mill Creek Park,3835,4615 FAIRMOUNT AVE,19139,4615 FAIRMOUNT AVE,,2.05984969,NEIGHBORHOOD_PARK,MISC_PARK,8,8,3,16,Y,Y,N,PPR has long term lease of land from PHA.,14207.46875,482.730046530542
487,Fish Hatchery at Pleasant Hill Park,Pleasant Hill Park,Y,,Fish Hatchery,"Torresdale Fish Hatchery;Pleasant Hill Beach;Fish Hatchery Boat Ramp/Launch",1255,9201 N DELAWARE AVE,19136,9201 N DELAWARE AVE,"Delaware River & Linden;8900 N DELAWARE AVE;9200 DELAWARE AVE;5220 LINDEN AVE",37.53187179,NEIGHBORHOOD_PARK,RECREATION_SITE,1,1,6,8,N,N,N,Former PWD Site,259457.95703125,3119.5962228912
